Time,1,2,3,4
2021-05-15 17:54:10,0.0,0.0,0.0,0.0
2021-05-15 17:54:15,0.2,0.2,11.3,23.1
2021-05-15 17:54:20,0.2,1.2,18.6,32.9
2021-05-15 17:54:25,0.2,1.0,3.8,50.5
2021-05-15 17:54:30,0.2,1.2,4.6,51.9
2021-05-15 17:54:35,0.4,1.2,5.4,46.5
2021-05-15 17:54:40,0.2,0.2,4.6,50.4
2021-05-15 17:54:45,0.0,0.2,5.2,49.3
2021-05-15 17:54:50,0.0,0.8,4.2,46.7
2021-05-15 17:54:55,0.0,1.8,5.0,50.2
2021-05-15 17:55:00,0.0,0.6,4.6,51.3
2021-05-15 17:55:05,-0.0,0.6,4.2,51.7
2021-05-15 17:55:10,0.0,0.0,4.4,48.1
2021-05-15 17:55:15,0.4,1.2,38.9,14.5
2021-05-15 17:55:20,1.0,0.6,34.1,20.2
2021-05-15 17:55:25,1.2,0.4,4.0,48.2
2021-05-15 17:55:30,2.6,0.2,3.8,48.3
2021-05-15 17:55:35,2.4,0.6,4.6,48.9
2021-05-15 17:55:40,7.2,0.2,0.0,50.1
2021-05-15 17:55:45,2.2,4.4,0.0,48.7
2021-05-15 17:55:50,1.4,4.8,0.0,47.0
2021-05-15 17:55:55,1.2,4.8,0.0,51.8
2021-05-15 17:56:00,1.4,20.5,0.0,30.9
2021-05-15 17:56:05,2.6,40.1,0.0,18.8
2021-05-15 17:56:10,2.8,0.2,0.0,51.4
2021-05-15 17:56:15,21.4,0.8,0.0,32.2
2021-05-15 17:56:20,48.2,2.0,0.0,5.0
2021-05-15 17:56:25,48.6,1.0,0.0,5.2
