Time,1,2,3,4
2021-05-15 15:15:50,0.0,0.0,100.0,0.0
2021-05-15 15:15:55,16.8,11.3,1.2,7.6
2021-05-15 15:16:00,27.3,-0.0,1.2,7.4
2021-05-15 15:16:05,26.0,0.6,0.8,6.2
2021-05-15 15:16:10,41.3,1.4,6.1,4.4
2021-05-15 15:16:15,2.6,30.1,11.7,61.9
2021-05-15 15:16:20,49.1,0.6,4.2,52.1
2021-05-15 15:16:25,32.9,1.4,2.4,67.3
2021-05-15 15:16:30,1.4,0.2,1.8,98.8
2021-05-15 15:16:35,1.4,1.6,4.8,97.4
2021-05-15 15:16:40,25.2,1.4,4.8,74.6
2021-05-15 15:16:45,1.6,0.8,4.0,98.4
2021-05-15 15:16:50,3.2,1.0,4.2,98.0
2021-05-15 15:16:55,0.6,0.4,2.4,99.0
2021-05-15 15:17:00,2.0,0.8,3.8,99.0
2021-05-15 15:17:05,47.1,1.0,1.8,54.4
2021-05-15 15:17:10,75.3,0.4,6.3,21.0
2021-05-15 15:17:15,28.3,0.8,2.4,85.6
2021-05-15 15:17:20,3.2,3.2,1.8,98.4
2021-05-15 15:17:25,15.4,27.7,0.8,61.7
2021-05-15 15:17:30,6.9,29.1,19.4,49.4
2021-05-15 15:17:35,5.0,3.0,3.0,98.0
2021-05-15 15:17:40,1.2,1.4,1.8,98.8
2021-05-15 15:17:45,1.8,2.4,3.6,98.6
2021-05-15 15:17:50,3.0,36.9,53.0,11.7
2021-05-15 15:17:55,2.2,98.2,2.8,2.6
2021-05-15 15:18:00,33.3,21.1,2.2,47.3
2021-05-15 15:18:05,66.1,6.1,6.2,29.3
2021-05-15 15:18:10,98.0,3.0,3.0,2.8
2021-05-15 15:18:15,3.6,1.2,49.7,49.7
2021-05-15 15:18:20,30.4,0.6,53.0,19.8
2021-05-15 15:18:25,3.3,0.4,0.2,96.8
2021-05-15 15:18:30,0.2,0.4,0.4,99.4
2021-05-15 15:18:35,4.7,0.0,1.2,96.0
2021-05-15 15:18:40,25.7,35.0,6.6,38.8
2021-05-15 15:18:45,2.6,3.8,0.6,99.0
2021-05-15 15:18:50,2.6,3.4,2.6,98.6
2021-05-15 15:18:55,1.8,2.4,1.0,98.6
2021-05-15 15:19:00,1.2,2.0,1.4,99.4
2021-05-15 15:19:05,3.0,3.4,1.2,99.0
2021-05-15 15:19:10,81.4,1.0,2.0,17.4
2021-05-15 15:19:15,4.3,21.8,7.0,72.6
2021-05-15 15:19:20,3.4,13.4,25.6,63.7
2021-05-15 15:19:25,2.4,4.4,98.8,0.0
2021-05-15 15:19:30,28.0,2.6,78.2,0.0
2021-05-15 15:19:35,33.5,-0.0,77.8,0.0
2021-05-15 15:19:40,17.1,7.7,76.5,0.8
2021-05-15 15:19:45,21.4,39.9,42.9,0.0
2021-05-15 15:19:50,42.0,3.0,9.3,51.5
2021-05-15 15:19:55,3.0,2.2,55.7,44.1
2021-05-15 15:20:00,4.8,2.6,98.6,0.0
2021-05-15 15:20:05,3.6,3.4,98.8,0.0
2021-05-15 15:20:10,2.2,2.4,99.0,0.0
2021-05-15 15:20:15,3.0,3.4,99.4,0.0
2021-05-15 15:20:20,10.5,15.8,61.3,22.1
2021-05-15 15:20:25,17.5,2.0,22.1,66.5
2021-05-15 15:20:30,0.2,4.3,94.4,5.8
2021-05-15 15:20:35,0.6,15.3,85.8,2.8
2021-05-15 15:20:40,4.3,81.8,16.8,1.2
2021-05-15 15:20:45,21.7,11.7,68.0,4.9
2021-05-15 15:20:50,2.6,4.2,98.0,2.6
2021-05-15 15:20:55,1.4,2.4,98.8,2.0
2021-05-15 15:21:00,3.2,23.4,76.5,4.8
2021-05-15 15:21:05,33.2,36.0,12.7,30.0
2021-05-15 15:21:10,9.2,39.2,2.7,52.5
2021-05-15 15:21:15,1.8,79.4,21.5,2.2
2021-05-15 15:21:20,2.8,99.4,1.2,2.4
2021-05-15 15:21:25,2.2,99.4,1.2,1.8
2021-05-15 15:21:30,1.6,98.8,1.4,2.6
2021-05-15 15:21:35,50.8,16.2,38.0,3.8
2021-05-15 15:21:40,34.9,4.0,64.1,2.2
2021-05-15 15:21:45,1.4,3.8,98.6,3.4
2021-05-15 15:21:50,1.4,2.6,98.8,1.4
2021-05-15 15:21:55,1.6,2.4,98.8,2.0
2021-05-15 15:22:00,16.7,5.0,85.9,2.0
2021-05-15 15:22:05,1.4,1.2,99.2,2.4
2021-05-15 15:22:10,1.8,1.0,99.0,2.6
2021-05-15 15:22:15,1.6,1.6,99.4,3.2
2021-05-15 15:22:20,1.6,1.2,99.0,2.8
2021-05-15 15:22:25,50.5,4.6,37.3,15.1
2021-05-15 15:22:30,52.5,1.2,4.4,46.8
2021-05-15 15:22:35,1.2,1.8,2.4,99.2
2021-05-15 15:22:40,1.4,2.0,2.0,98.6
2021-05-15 15:22:45,1.8,3.6,2.8,98.8
2021-05-15 15:22:50,1.8,3.6,3.6,98.6
2021-05-15 15:22:55,1.6,6.1,5.0,93.2
2021-05-15 15:23:00,61.4,28.8,4.9,12.9
2021-05-15 15:23:05,11.3,19.3,51.1,23.2
2021-05-15 15:23:10,2.0,0.0,82.8,17.5
2021-05-15 15:23:15,0.8,28.0,73.1,0.4
2021-05-15 15:23:20,0.6,1.2,42.0,59.0
