Time,1,2,3,4
2021-05-15 18:44:22,50.0,100.0,0.0,0.0
2021-05-15 18:44:27,5.8,5.7,1.2,30.5
2021-05-15 18:44:32,17.3,5.4,14.1,42.6
2021-05-15 18:44:37,0.6,37.5,5.7,63.4
2021-05-15 18:44:42,1.2,98.6,5.5,2.2
2021-05-15 18:44:47,1.2,97.8,3.6,2.6
2021-05-15 18:44:52,48.6,25.6,3.4,27.7
2021-05-15 18:44:57,68.6,10.3,23.7,1.4
2021-05-15 18:45:02,52.9,1.6,48.3,1.4
2021-05-15 18:45:07,2.8,1.6,65.5,35.6
2021-05-15 18:45:12,3.4,3.6,98.4,2.2
2021-05-15 18:45:17,45.7,11.4,42.4,11.9
2021-05-15 18:45:22,40.1,6.9,35.5,24.2
2021-05-15 18:45:27,0.4,4.0,36.2,64.4
2021-05-15 18:45:32,0.2,46.6,54.5,1.4
2021-05-15 18:45:37,0.0,18.6,33.1,58.2
2021-05-15 18:45:42,11.7,11.4,78.9,2.9
2021-05-15 18:45:47,27.4,69.1,4.4,3.6
2021-05-15 18:45:52,98.6,1.0,2.2,3.4
2021-05-15 18:45:57,98.8,2.6,1.8,3.0
2021-05-15 18:46:02,85.7,2.0,9.4,8.2
