Time,1,2,3,4
2021-05-15 17:51:23,0.0,0.0,0.0,0.0
2021-05-15 17:51:28,1.0,7.4,28.0,0.0
2021-05-15 17:51:33,0.4,7.0,26.4,0.0
2021-05-15 17:51:38,0.0,6.0,24.7,0.0
2021-05-15 17:51:43,0.6,7.4,29.2,0.2
2021-05-15 17:51:48,1.2,7.2,22.0,9.8
2021-05-15 17:51:53,1.4,6.8,0.0,27.3
2021-05-15 17:51:58,0.6,5.4,12.3,34.5
2021-05-15 17:52:03,0.6,4.6,45.9,2.0
2021-05-15 17:52:08,0.4,4.2,49.6,1.0
2021-05-15 17:52:13,1.6,4.6,50.1,0.4
2021-05-15 17:52:18,2.2,4.6,47.1,0.4
2021-05-15 17:52:23,0.2,4.2,48.4,2.4
2021-05-15 17:52:28,1.0,4.8,48.1,0.8
2021-05-15 17:52:33,1.6,4.6,49.4,0.2
2021-05-15 17:52:38,1.4,4.2,51.8,0.0
2021-05-15 17:52:43,2.0,5.4,49.5,0.2
2021-05-15 17:52:48,1.2,4.6,49.8,0.0
2021-05-15 17:52:53,0.8,4.6,50.6,0.4
2021-05-15 17:52:58,1.8,4.2,50.4,0.2
2021-05-15 17:53:03,1.0,4.0,46.3,0.0
2021-05-15 17:53:08,2.0,4.4,47.6,0.4
2021-05-15 17:53:13,1.8,4.6,50.7,0.6
2021-05-15 17:53:18,1.8,4.6,47.8,0.0
2021-05-15 17:53:23,1.8,4.0,49.1,0.2
2021-05-15 17:53:28,0.6,4.8,50.5,0.0
2021-05-15 17:53:33,2.4,4.2,46.3,0.4
2021-05-15 17:53:38,1.2,4.4,46.0,0.2
2021-05-15 17:53:43,1.6,18.5,36.8,0.0
