Time,1,2,3,4
2021-05-15 21:52:03,0.0,0.0,0.0,0.0
2021-05-15 21:52:08,6.0,0.2,0.4,24.6
2021-05-15 21:52:13,7.0,0.4,0.8,37.7
2021-05-15 21:52:18,7.8,7.6,38.4,30.0
2021-05-15 21:52:23,21.3,0.4,80.5,5.5
2021-05-15 21:52:28,15.1,1.8,83.9,3.0
2021-05-15 21:52:33,32.5,0.2,42.3,26.8
2021-05-15 21:52:38,0.2,0.4,86.2,12.8
2021-05-15 21:52:43,0.4,1.0,73.2,24.9
2021-05-15 21:52:48,4.8,7.7,81.2,8.1
2021-05-15 21:52:53,0.4,0.8,72.9,25.4
2021-05-15 21:52:58,1.8,6.4,85.1,11.5
2021-05-15 21:53:03,1.2,55.6,45.6,2.6
2021-05-15 21:53:08,0.2,11.5,89.6,1.0
2021-05-15 21:53:13,1.0,2.0,99.2,2.6
2021-05-15 21:53:18,10.0,2.6,89.0,3.0
2021-05-15 21:53:23,15.9,1.0,84.9,0.6
2021-05-15 21:53:28,2.2,1.2,99.2,1.6
2021-05-15 21:53:33,2.6,2.0,99.4,1.2
2021-05-15 21:53:38,3.0,1.2,99.2,2.2
2021-05-15 21:53:43,2.0,1.8,98.4,1.4
2021-05-15 21:53:48,3.0,66.9,33.1,1.8
2021-05-15 21:53:53,2.0,61.4,38.3,1.2
2021-05-15 21:53:58,1.0,11.4,44.2,45.8
2021-05-15 21:54:03,2.0,1.4,48.4,51.3
2021-05-15 21:54:08,0.6,2.0,73.7,27.0
2021-05-15 21:54:13,6.7,7.9,47.1,40.3
2021-05-15 21:54:18,6.7,6.3,70.9,16.8
2021-05-15 21:54:23,0.4,5.9,84.6,9.6
2021-05-15 21:54:28,65.0,0.6,28.2,7.4
2021-05-15 21:54:33,9.9,0.8,90.3,2.6
2021-05-15 21:54:38,67.1,2.2,32.9,1.6
2021-05-15 21:54:43,82.9,2.2,6.0,12.7
2021-05-15 21:54:48,0.4,1.6,2.4,98.6
2021-05-15 21:54:53,0.6,2.0,2.6,99.4
2021-05-15 21:54:58,6.6,6.5,36.6,53.5
2021-05-15 21:55:03,9.3,12.4,72.4,5.9
2021-05-15 21:55:08,41.0,13.0,45.3,3.4
2021-05-15 21:55:13,99.2,1.4,0.8,2.2
2021-05-15 21:55:18,21.0,65.3,13.1,3.2
2021-05-15 21:55:23,1.2,55.7,44.9,2.0
2021-05-15 21:55:28,1.8,40.2,1.0,60.3
2021-05-15 21:55:33,2.0,1.2,62.7,35.6
2021-05-15 21:55:38,3.9,3.7,90.6,1.0
2021-05-15 21:55:43,1.0,6.5,86.5,7.3
2021-05-15 21:55:48,25.1,9.9,57.3,9.7
2021-05-15 21:55:53,91.0,3.8,9.5,0.6
2021-05-15 21:55:58,2.4,1.8,99.0,0.4
2021-05-15 21:56:03,2.4,9.1,92.0,1.2
2021-05-15 21:56:08,1.8,46.2,54.3,2.4
2021-05-15 21:56:13,1.2,98.8,2.0,1.4
2021-05-15 21:56:18,16.3,29.7,53.7,2.4
2021-05-15 21:56:23,61.0,3.2,5.2,35.2
2021-05-15 21:56:28,70.8,7.7,17.5,5.5
2021-05-15 21:56:33,8.7,6.1,78.9,6.1
2021-05-15 21:56:39,21.1,3.0,73.9,3.0
2021-05-15 21:56:44,75.8,3.8,12.1,11.4
2021-05-15 21:56:49,6.3,2.2,86.8,5.7
2021-05-15 21:56:54,1.8,0.4,91.7,5.3
2021-05-15 21:56:59,0.0,12.3,60.8,29.1
2021-05-15 21:57:04,0.2,0.4,1.0,98.4
2021-05-15 21:57:09,1.2,2.0,95.8,5.4
2021-05-15 21:57:14,65.9,10.4,17.3,7.3
2021-05-15 21:57:19,82.5,1.2,14.1,4.3
2021-05-15 21:57:24,98.8,0.8,1.6,2.4
2021-05-15 21:57:29,85.0,4.3,6.3,6.2
2021-05-15 21:57:34,76.4,4.7,11.0,8.5
2021-05-15 21:57:39,73.3,3.9,17.0,6.3
2021-05-15 21:57:44,58.8,3.2,5.0,35.6
2021-05-15 21:57:49,3.6,1.8,0.0,98.0
2021-05-15 21:57:54,3.6,7.0,17.8,76.4
2021-05-15 21:57:59,5.3,62.2,18.7,15.5
2021-05-15 21:58:04,4.5,34.8,58.9,4.0
2021-05-15 21:58:09,3.0,2.2,97.4,2.4
2021-05-15 21:58:14,3.4,3.0,30.9,64.1
2021-05-15 21:58:19,9.2,15.5,74.1,1.2
2021-05-15 21:58:24,3.0,17.7,73.6,5.5
2021-05-15 21:58:29,21.2,4.9,70.3,3.9
2021-05-15 21:58:34,5.9,2.4,82.0,11.2
2021-05-15 21:58:39,4.3,15.4,76.0,4.7
2021-05-15 21:58:44,7.7,67.3,26.1,2.2
2021-05-15 21:58:49,7.1,33.5,42.5,18.7
2021-05-15 21:58:54,3.2,11.7,32.2,56.2
2021-05-15 21:58:59,1.8,99.2,2.8,1.0
2021-05-15 21:59:04,39.6,59.4,2.6,4.0
2021-05-15 21:59:09,53.2,4.6,37.2,9.4
2021-05-15 21:59:14,0.0,3.8,3.2,98.4
2021-05-15 21:59:19,0.0,1.6,2.8,98.4
2021-05-15 21:59:24,1.6,1.8,4.0,98.4
2021-05-15 21:59:29,2.4,6.1,7.5,85.0
2021-05-15 21:59:34,10.6,11.8,11.6,66.3
2021-05-15 21:59:39,9.1,4.5,4.3,83.8
2021-05-15 21:59:44,2.2,2.0,1.6,98.8
2021-05-15 21:59:49,2.8,2.2,3.4,98.8
2021-05-15 21:59:54,1.8,2.4,1.8,98.4
2021-05-15 21:59:59,3.0,16.1,6.3,79.1
2021-05-15 22:00:04,2.0,2.4,2.2,99.2
2021-05-15 22:00:09,1.4,1.8,1.8,99.4
2021-05-15 22:00:14,1.6,2.8,1.2,98.0
2021-05-15 22:00:19,4.0,18.0,0.8,81.0
2021-05-15 22:00:24,4.4,43.5,9.9,45.2
2021-05-15 22:00:29,2.6,3.2,9.5,87.0
2021-05-15 22:00:34,7.1,3.0,44.6,47.5
2021-05-15 22:00:39,4.0,1.8,98.6,0.4
2021-05-15 22:00:44,2.0,5.0,87.5,10.3
2021-05-15 22:00:49,11.8,9.4,71.0,8.3
2021-05-15 22:00:54,5.9,5.9,73.7,14.9
2021-05-15 22:00:59,5.2,70.3,25.2,4.8
2021-05-15 22:01:04,3.0,98.8,2.8,0.0
2021-05-15 22:01:09,8.9,69.5,11.9,11.0
2021-05-15 22:01:14,8.5,75.0,7.3,9.0
2021-05-15 22:01:19,4.2,19.8,11.2,66.6
2021-05-15 22:01:24,1.2,3.0,2.0,97.6
2021-05-15 22:01:29,1.6,1.6,1.8,98.6
2021-05-15 22:01:34,1.6,2.4,2.4,98.2
2021-05-15 22:01:39,4.1,0.8,2.8,99.2
2021-05-15 22:01:44,1.8,1.0,2.2,99.4
2021-05-15 22:01:49,2.6,0.4,1.8,99.4
2021-05-15 22:01:54,3.0,1.4,2.4,98.8
2021-05-15 22:01:59,3.4,1.8,3.0,98.8
2021-05-15 22:02:04,5.4,37.3,0.8,60.6
2021-05-15 22:02:09,46.0,1.2,0.2,54.3
2021-05-15 22:02:14,91.7,0.0,0.0,7.3
2021-05-15 22:02:19,91.7,1.2,0.0,6.3
2021-05-15 22:02:24,69.9,11.4,6.5,12.7
2021-05-15 22:02:29,6.8,94.4,3.0,0.6
2021-05-15 22:02:34,21.6,76.3,2.8,3.2
2021-05-15 22:02:39,1.6,98.8,0.6,1.2
2021-05-15 22:02:44,3.0,92.0,1.8,8.0
2021-05-15 22:02:49,1.4,30.5,28.8,41.2
2021-05-15 22:02:54,1.2,72.1,3.4,23.9
2021-05-15 22:02:59,5.6,58.9,9.9,27.7
2021-05-15 22:03:04,4.0,3.4,2.0,98.6
2021-05-15 22:03:09,2.6,2.8,0.2,98.8
2021-05-15 22:03:14,15.5,7.2,2.4,79.0
2021-05-15 22:03:19,2.2,1.4,3.0,98.8
2021-05-15 22:03:24,3.4,4.0,43.5,53.1
2021-05-15 22:03:29,2.8,4.4,54.3,43.3
2021-05-15 22:03:34,1.0,1.4,43.8,56.7
2021-05-15 22:03:39,1.4,1.2,54.0,46.7
2021-05-15 22:03:44,2.2,60.3,12.9,27.2
2021-05-15 22:03:49,0.4,4.2,98.2,3.2
2021-05-15 22:03:54,0.6,2.8,99.0,3.0
2021-05-15 22:03:59,1.2,18.7,78.9,3.8
2021-05-15 22:04:04,0.0,2.0,99.4,2.0
2021-05-15 22:04:09,1.2,1.4,68.1,32.6
2021-05-15 22:04:14,2.0,47.8,8.7,44.7
2021-05-15 22:04:19,0.6,2.0,40.0,60.0
2021-05-15 22:04:24,0.2,0.6,6.3,92.9
2021-05-15 22:04:29,2.6,3.6,98.0,2.6
2021-05-15 22:04:34,2.4,2.2,71.3,28.7
2021-05-15 22:04:39,46.4,2.0,29.8,26.4
2021-05-15 22:04:44,21.6,75.4,0.8,2.4
2021-05-15 22:04:49,4.2,7.1,34.9,57.6
2021-05-15 22:04:54,0.6,93.9,0.2,5.1
2021-05-15 22:04:59,0.6,98.6,0.4,0.0
2021-05-15 22:05:04,9.5,10.3,56.5,26.2
2021-05-15 22:05:09,2.6,95.2,3.2,3.8
2021-05-15 22:05:14,2.8,99.4,1.6,1.0
2021-05-15 22:05:19,2.4,99.2,2.0,1.0
2021-05-15 22:05:24,3.4,96.4,3.0,1.4
2021-05-15 22:05:29,5.0,93.7,3.8,0.8
2021-05-15 22:05:34,1.8,99.2,2.0,1.0
2021-05-15 22:05:39,2.0,65.2,36.0,1.4
2021-05-15 22:05:44,2.4,7.1,92.8,1.4
2021-05-15 22:05:49,3.5,6.7,75.8,13.0
2021-05-15 22:05:54,5.4,6.7,68.0,21.7
2021-05-15 22:05:59,3.4,2.6,17.6,80.0
2021-05-15 22:06:04,3.0,16.1,66.3,15.1
2021-05-15 22:06:09,36.9,3.0,42.4,20.9
2021-05-15 22:06:14,0.8,2.0,2.8,98.8
2021-05-15 22:06:19,3.4,16.0,59.5,22.6
2021-05-15 22:06:24,2.6,5.4,43.9,51.8
2021-05-15 22:06:29,1.4,0.0,4.6,97.6
2021-05-15 22:06:34,3.6,0.0,2.2,98.2
2021-05-15 22:06:39,5.0,0.0,3.2,98.2
2021-05-15 22:06:44,28.3,2.0,6.7,64.8
2021-05-15 22:06:49,90.7,1.4,2.6,7.7
2021-05-15 22:06:54,85.8,9.5,0.6,7.2
2021-05-15 22:06:59,6.1,93.3,-0.0,0.0
2021-05-15 22:07:04,50.6,1.6,36.1,13.4
2021-05-15 22:07:09,2.0,3.5,76.2,19.3
2021-05-15 22:07:14,16.5,0.6,79.5,3.9
2021-05-15 22:07:19,3.7,3.5,75.7,16.9
2021-05-15 22:07:24,1.4,0.2,72.9,25.0
2021-05-15 22:07:29,0.6,2.6,73.2,23.3
2021-05-15 22:07:34,12.9,3.9,73.6,11.2
2021-05-15 22:07:39,38.6,57.3,7.4,1.8
2021-05-15 22:07:44,2.2,62.7,3.8,35.9
2021-05-15 22:07:49,1.0,6.6,2.9,89.0
2021-05-15 22:07:54,1.8,64.2,30.0,6.9
2021-05-15 22:07:59,1.2,0.0,68.0,32.5
2021-05-15 22:08:04,5.7,4.7,81.1,8.8
2021-05-15 22:08:09,1.0,1.2,32.5,67.7
2021-05-15 22:08:14,1.6,61.8,38.1,0.4
2021-05-15 22:08:19,6.9,29.8,55.0,9.0
2021-05-15 22:08:24,3.9,50.0,41.8,5.7
2021-05-15 22:08:29,59.5,2.8,33.5,7.4
2021-05-15 22:08:34,1.6,1.8,99.4,0.0
2021-05-15 22:08:39,4.0,2.2,98.6,3.0
2021-05-15 22:08:44,2.2,1.8,99.6,2.0
2021-05-15 22:08:49,2.2,2.4,99.0,1.6
2021-05-15 22:08:54,3.2,3.0,98.2,1.2
2021-05-15 22:08:59,3.4,4.4,82.5,12.6
2021-05-15 22:09:04,3.0,4.3,71.9,20.8
2021-05-15 22:09:09,0.4,15.6,70.1,14.0
2021-05-15 22:09:14,6.3,18.4,68.5,7.1
2021-05-15 22:09:19,5.9,13.5,75.5,6.6
2021-05-15 22:09:24,7.5,48.4,42.6,5.8
2021-05-15 22:09:29,78.4,6.4,19.2,0.2
2021-05-15 22:09:34,82.4,4.0,15.6,2.4
2021-05-15 22:09:39,98.4,3.8,0.6,2.4
2021-05-15 22:09:44,98.4,1.8,2.0,1.8
2021-05-15 22:09:49,7.8,34.7,25.0,36.7
2021-05-15 22:09:54,1.8,97.8,2.2,0.2
2021-05-15 22:09:59,65.5,26.4,4.4,7.6
2021-05-15 22:10:04,98.8,2.8,0.2,1.4
2021-05-15 22:10:09,22.8,68.1,8.2,1.6
2021-05-15 22:10:14,1.4,33.0,62.0,7.0
2021-05-15 22:10:19,0.8,73.6,24.7,2.4
2021-05-15 22:10:24,24.8,20.2,58.0,2.2
2021-05-15 22:10:29,1.6,3.0,98.8,2.0
2021-05-15 22:10:34,1.6,2.2,98.6,1.6
2021-05-15 22:10:39,1.4,1.2,99.0,2.2
2021-05-15 22:10:44,2.6,1.4,99.0,2.2
2021-05-15 22:10:49,3.6,25.2,73.2,3.0
2021-05-15 22:10:54,4.2,0.2,97.6,2.8
