Time,1,2,3,4
2021-05-15 18:06:28,0.0,0.0,0.0,0.0
2021-05-15 18:06:33,1.2,0.2,39.6,6.6
2021-05-15 18:06:38,5.2,11.2,49.7,27.2
2021-05-15 18:06:43,2.8,21.0,62.4,16.7
2021-05-15 18:06:48,1.8,98.2,2.4,3.6
2021-05-15 18:06:53,11.2,50.4,5.0,38.9
2021-05-15 18:06:58,8.2,3.8,35.4,57.4
2021-05-15 18:07:03,3.2,65.9,0.4,33.6
2021-05-15 18:07:08,1.2,99.8,0.4,0.0
2021-05-15 18:07:13,36.7,64.9,1.8,0.0
2021-05-15 18:07:18,98.4,5.3,3.8,0.0
2021-05-15 18:07:23,98.8,5.5,3.8,0.0
2021-05-15 18:07:28,78.2,24.4,2.2,0.0
2021-05-15 18:07:33,0.0,99.8,1.0,0.2
2021-05-15 18:07:38,0.0,33.4,68.7,0.8
2021-05-15 18:07:43,0.0,3.4,98.8,2.8
2021-05-15 18:07:48,1.4,5.0,98.2,3.8
2021-05-15 18:07:53,0.0,3.0,98.6,2.6
2021-05-15 18:07:58,0.0,67.1,9.1,27.5
2021-05-15 18:08:03,12.3,87.2,1.0,7.2
2021-05-15 18:08:08,98.0,2.6,3.8,1.6
2021-05-15 18:08:13,98.2,1.8,4.0,2.8
2021-05-15 18:08:18,4.6,4.0,93.3,4.0
2021-05-15 18:08:23,0.0,72.8,28.7,1.4
2021-05-15 18:08:28,1.2,59.6,11.8,34.8
2021-05-15 18:08:33,0.4,1.2,72.5,29.6
2021-05-15 18:08:38,1.0,1.2,86.7,13.6
2021-05-15 18:08:43,23.6,2.0,70.6,7.7
2021-05-15 18:08:48,1.2,1.0,62.0,38.9
2021-05-15 18:08:53,1.0,0.0,99.4,0.0
2021-05-15 18:08:58,3.2,6.5,63.1,31.6
2021-05-15 18:09:03,0.6,10.0,67.5,26.0
2021-05-15 18:09:08,1.8,0.0,99.6,0.4
2021-05-15 18:09:13,0.8,21.7,78.2,0.8
2021-05-15 18:09:18,51.7,6.5,34.3,12.7
2021-05-15 18:09:23,69.0,3.3,29.0,3.1
2021-05-15 18:09:28,2.6,3.0,98.2,2.2
2021-05-15 18:09:33,1.2,2.4,99.0,2.4
2021-05-15 18:09:38,0.2,2.6,99.0,2.2
2021-05-15 18:09:43,0.8,3.8,99.2,2.6
2021-05-15 18:09:48,0.4,3.0,99.2,2.8
2021-05-15 18:09:53,2.0,14.8,68.2,22.3
2021-05-15 18:09:58,9.3,21.6,71.8,3.2
2021-05-15 18:10:03,0.6,48.5,36.6,19.4
2021-05-15 18:10:08,2.0,0.8,70.6,29.8
2021-05-15 18:10:13,21.4,1.2,74.4,10.4
2021-05-15 18:10:18,0.2,11.2,41.0,63.8
