Time,1,2,3,4
2021-05-15 21:36:57,0.0,0.0,0.0,0.0
2021-05-15 21:37:02,3.4,0.2,4.8,37.1
2021-05-15 21:37:07,33.1,18.0,2.2,32.0
2021-05-15 21:37:12,96.2,2.6,2.2,4.2
2021-05-15 21:37:17,95.2,0.8,1.6,7.2
2021-05-15 21:37:22,98.6,1.0,1.8,3.6
2021-05-15 21:37:27,60.2,0.8,1.0,41.6
2021-05-15 21:37:32,18.6,50.5,3.8,30.4
2021-05-15 21:37:37,21.6,26.1,13.8,42.4
2021-05-15 21:37:42,2.0,1.4,5.8,93.8
2021-05-15 21:37:47,1.8,3.2,0.6,99.0
2021-05-15 21:37:52,0.6,4.2,91.0,8.7
2021-05-15 21:37:57,0.8,32.9,67.4,3.8
2021-05-15 21:38:02,1.0,38.8,61.0,4.0
2021-05-15 21:38:07,1.0,34.1,66.1,2.2
2021-05-15 21:38:12,0.4,5.7,54.3,42.2
2021-05-15 21:38:17,1.4,26.4,75.1,1.2
2021-05-15 21:38:22,1.8,1.8,98.8,3.2
2021-05-15 21:38:27,5.5,10.2,81.6,4.6
2021-05-15 21:38:32,6.1,36.7,39.9,19.2
2021-05-15 21:38:37,1.2,13.8,72.3,14.1
2021-05-15 21:38:42,2.4,54.9,43.8,2.2
2021-05-15 21:38:47,3.2,97.8,2.8,2.4
2021-05-15 21:38:52,10.9,88.7,1.2,3.2
2021-05-15 21:38:57,-0.0,0.2,0.0,98.8
2021-05-15 21:39:02,1.8,59.6,2.8,40.8
2021-05-15 21:39:07,1.8,3.2,1.6,98.8
2021-05-15 21:39:12,2.4,2.6,2.0,98.0
2021-05-15 21:39:17,3.2,4.4,2.2,97.8
2021-05-15 21:39:22,2.6,23.1,4.6,75.8
2021-05-15 21:39:27,4.5,86.2,5.1,6.4
2021-05-15 21:39:32,53.2,37.1,6.9,5.9
2021-05-15 21:39:37,26.9,25.8,41.7,7.7
2021-05-15 21:39:42,9.2,4.5,70.6,15.7
2021-05-15 21:39:47,8.5,13.6,68.0,9.9
2021-05-15 21:39:52,3.4,99.4,1.4,0.0
2021-05-15 21:39:57,2.4,98.6,1.8,0.4
2021-05-15 21:40:02,1.8,76.1,9.3,13.1
2021-05-15 21:40:07,62.3,28.9,6.3,6.0
2021-05-15 21:40:12,49.0,43.3,2.6,7.3
2021-05-15 21:40:17,2.8,97.6,2.2,0.8
2021-05-15 21:40:22,2.6,99.0,1.4,0.8
2021-05-15 21:40:27,2.6,80.9,19.7,1.2
2021-05-15 21:40:32,1.8,96.6,3.8,3.8
2021-05-15 21:40:37,2.6,98.4,2.2,3.0
2021-05-15 21:40:42,2.2,98.8,1.4,2.8
2021-05-15 21:40:47,1.6,99.4,1.2,0.6
2021-05-15 21:40:52,0.4,97.8,1.4,4.0
2021-05-15 21:40:57,0.4,98.4,1.4,3.2
2021-05-15 21:41:02,14.7,85.5,1.2,2.4
2021-05-15 21:41:07,1.8,99.4,1.2,1.4
2021-05-15 21:41:12,2.6,97.8,2.2,2.8
2021-05-15 21:41:17,1.4,93.8,2.8,4.6
2021-05-15 21:41:22,-0.0,94.7,4.5,0.0
2021-05-15 21:41:27,2.0,85.8,7.1,5.7
2021-05-15 21:41:32,6.7,48.8,2.4,44.4
2021-05-15 21:41:37,21.2,78.3,0.6,5.2
2021-05-15 21:41:42,61.3,9.6,29.4,0.8
2021-05-15 21:41:47,1.2,66.7,31.5,3.8
2021-05-15 21:41:52,1.2,71.2,28.1,1.2
2021-05-15 21:41:57,1.4,68.9,30.0,1.2
2021-05-15 21:42:02,0.4,97.8,0.8,-0.0
2021-05-15 21:42:07,1.8,47.7,52.5,1.8
2021-05-15 21:42:12,4.7,70.8,26.0,0.0
2021-05-15 21:42:17,0.8,73.8,25.9,-0.0
2021-05-15 21:42:22,13.8,15.5,6.7,64.6
2021-05-15 21:42:27,7.7,3.3,16.5,72.7
2021-05-15 21:42:32,14.5,10.2,6.8,69.7
2021-05-15 21:42:37,2.7,0.8,18.0,78.3
2021-05-15 21:42:42,1.4,4.8,3.0,90.1
2021-05-15 21:42:47,8.0,1.4,0.4,90.1
2021-05-15 21:42:52,2.6,0.8,6.3,90.3
2021-05-15 21:42:57,0.0,1.0,49.3,51.6
2021-05-15 21:43:02,2.8,34.7,56.0,8.5
2021-05-15 21:43:07,1.4,76.0,18.3,5.5
2021-05-15 21:43:12,0.8,18.0,82.6,2.0
2021-05-15 21:43:17,2.2,0.4,43.2,58.4
2021-05-15 21:43:22,1.0,14.0,3.0,85.2
2021-05-15 21:43:27,0.2,72.0,0.4,28.5
2021-05-15 21:43:32,8.2,29.4,4.5,59.0
2021-05-15 21:43:37,4.1,24.7,0.2,71.1
2021-05-15 21:43:42,1.2,56.9,5.1,38.8
2021-05-15 21:43:47,2.6,75.9,25.4,1.8
2021-05-15 21:43:52,1.8,2.2,99.2,1.4
