Time,1,2,3,4
2021-05-17 23:14:46,0.0,0.0,50.0,0.0
2021-05-17 23:14:51,4.2,14.1,1.8,2.8
2021-05-17 23:14:56,28.1,12.1,6.4,20.7
2021-05-17 23:15:01,0.2,15.8,6.0,86.2
2021-05-17 23:15:06,0.2,16.6,6.2,86.5
2021-05-17 23:15:11,0.4,15.0,7.0,87.2
2021-05-17 23:15:16,0.0,4.4,17.3,88.1
2021-05-17 23:15:21,0.0,0.2,21.0,87.9
2021-05-17 23:15:26,0.0,0.4,20.4,88.1
2021-05-17 23:15:31,0.2,1.0,21.0,88.6
2021-05-17 23:15:36,0.4,0.6,20.5,88.7
2021-05-17 23:15:41,0.4,1.6,20.8,88.8
2021-05-17 23:15:46,1.0,1.8,17.4,88.6
2021-05-17 23:15:51,0.0,0.2,21.5,87.9
2021-05-17 23:15:56,0.2,0.0,22.6,87.9
2021-05-17 23:16:01,0.0,0.2,17.7,89.4
2021-05-17 23:16:06,0.0,0.0,21.4,87.6
2021-05-17 23:16:11,0.2,0.4,21.5,88.6
2021-05-17 23:16:16,0.0,0.0,21.8,87.9
2021-05-17 23:16:21,0.0,0.4,21.9,86.5
2021-05-17 23:16:26,0.0,8.3,23.1,76.5
2021-05-17 23:16:31,0.0,0.8,21.7,85.7
2021-05-17 23:16:36,0.0,8.7,12.7,87.9
2021-05-17 23:16:41,0.6,5.4,14.4,88.6
2021-05-17 23:16:46,0.2,5.0,15.8,87.9
2021-05-17 23:16:51,0.2,5.8,16.9,87.1
2021-05-17 23:16:56,0.0,5.4,16.3,88.4
2021-05-17 23:17:01,0.6,6.4,22.3,81.1
2021-05-17 23:17:06,0.2,16.2,90.9,1.0
2021-05-17 23:17:11,0.0,20.9,87.6,1.2
2021-05-17 23:17:16,0.0,23.0,86.5,1.6
2021-05-17 23:17:21,0.4,19.8,87.8,1.6
2021-05-17 23:17:26,0.2,20.3,88.1,0.8
2021-05-17 23:17:31,0.2,21.9,87.0,1.0
2021-05-17 23:17:36,0.8,21.4,87.2,1.6
2021-05-17 23:17:41,2.2,20.2,87.0,0.6
2021-05-17 23:17:46,0.4,5.6,87.2,15.3
2021-05-17 23:17:51,0.8,6.2,86.2,16.8
2021-05-17 23:17:56,13.0,10.1,43.7,41.3
2021-05-17 23:18:01,0.2,19.7,0.8,87.5
2021-05-17 23:18:06,0.0,18.9,34.4,55.4
2021-05-17 23:18:11,0.6,19.5,87.5,1.0
2021-05-17 23:18:16,0.6,17.9,89.0,0.6
2021-05-17 23:18:21,1.2,19.7,87.4,0.8
2021-05-17 23:18:26,0.2,20.3,87.7,1.2
2021-05-17 23:18:31,1.2,20.4,34.1,55.0
2021-05-17 23:18:36,2.2,21.4,0.0,87.6
2021-05-17 23:18:41,1.2,18.9,0.0,88.5
2021-05-17 23:18:46,1.8,21.3,0.0,88.2
2021-05-17 23:18:51,3.0,19.4,0.2,88.1
2021-05-17 23:18:56,1.4,19.8,0.0,88.2
2021-05-17 23:19:01,13.9,9.3,69.2,16.1
2021-05-17 23:19:06,1.2,5.9,85.5,17.1
2021-05-17 23:19:11,1.4,5.5,86.3,15.9
2021-05-17 23:19:16,1.4,5.4,88.2,15.0
2021-05-17 23:19:21,1.8,5.2,88.1,15.5
