Time,1,2,3,4
2021-05-15 15:23:56,0.0,0.0,100.0,100.0
2021-05-15 15:24:01,24.1,19.4,5.4,0.6
2021-05-15 15:24:06,61.3,14.5,9.2,7.5
2021-05-15 15:24:11,56.5,3.2,42.6,2.2
2021-05-15 15:24:16,13.4,6.3,59.0,29.6
2021-05-15 15:24:21,78.2,23.2,0.4,2.8
2021-05-15 15:24:26,37.0,64.0,0.0,0.4
2021-05-15 15:24:31,30.4,71.1,0.4,-0.0
2021-05-15 15:24:36,9.6,90.8,0.0,1.0
2021-05-15 15:24:41,79.7,3.4,1.2,20.6
2021-05-15 15:24:46,1.4,21.4,0.0,78.6
2021-05-15 15:24:51,8.4,0.6,1.2,98.0
2021-05-15 15:24:56,29.7,3.7,8.9,64.0
2021-05-15 15:25:01,1.4,1.8,98.8,3.0
2021-05-15 15:25:06,21.1,3.8,9.5,70.4
2021-05-15 15:25:11,15.2,0.6,-0.0,85.6
2021-05-15 15:25:16,0.6,1.2,1.0,98.8
2021-05-15 15:25:21,1.4,4.0,71.4,27.5
2021-05-15 15:25:26,1.0,2.6,99.4,3.8
2021-05-15 15:25:31,2.2,1.6,98.8,2.0
2021-05-15 15:25:36,0.8,2.6,99.2,2.2
2021-05-15 15:25:41,2.0,2.0,98.6,3.2
2021-05-15 15:25:46,2.6,23.5,76.7,3.2
2021-05-15 15:25:51,3.6,22.1,63.2,17.3
2021-05-15 15:25:56,2.4,1.6,99.6,1.8
2021-05-15 15:26:01,1.6,2.0,99.6,1.2
2021-05-15 15:26:06,1.6,36.5,66.2,1.0
2021-05-15 15:26:11,3.0,99.6,2.4,1.2
2021-05-15 15:26:16,2.8,99.0,3.4,1.8
2021-05-15 15:26:21,17.3,83.1,5.9,2.2
2021-05-15 15:26:26,41.1,2.7,61.0,0.8
2021-05-15 15:26:31,12.4,10.9,78.5,0.8
2021-05-15 15:26:36,53.4,37.4,6.8,9.1
2021-05-15 15:26:41,7.3,3.4,9.4,86.1
2021-05-15 15:26:46,2.2,3.9,2.2,99.2
2021-05-15 15:26:51,34.4,56.9,4.3,9.9
2021-05-15 15:26:56,5.5,62.8,11.8,23.4
2021-05-15 15:27:01,2.6,1.8,98.8,1.8
2021-05-15 15:27:06,2.6,9.2,93.0,1.0
2021-05-15 15:27:11,1.8,99.4,0.0,3.2
2021-05-15 15:27:16,2.8,98.8,0.2,2.8
2021-05-15 15:27:21,3.6,85.0,10.1,8.7
2021-05-15 15:27:26,41.3,5.0,58.2,2.6
2021-05-15 15:27:31,0.2,1.0,99.0,1.4
2021-05-15 15:27:36,63.6,5.7,19.6,14.6
2021-05-15 15:27:41,98.2,4.4,2.0,2.0
2021-05-15 15:27:46,98.6,3.2,3.0,2.2
2021-05-15 15:27:51,13.2,46.5,45.7,0.2
2021-05-15 15:27:56,44.1,55.1,1.8,2.6
2021-05-15 15:28:01,1.2,98.4,3.2,3.2
2021-05-15 15:28:06,15.4,85.3,3.8,3.2
2021-05-15 15:28:11,1.0,56.0,43.5,3.6
2021-05-15 15:28:16,0.4,7.7,59.8,36.2
2021-05-15 15:28:21,6.1,0.2,72.7,24.1
2021-05-15 15:28:26,4.8,0.0,21.9,77.8
2021-05-15 15:28:31,0.8,2.0,20.7,78.6
2021-05-15 15:28:36,0.6,20.2,1.4,79.4
