Time,1,2,3,4
2021-05-15 19:06:19,0.0,100.0,100.0,0.0
2021-05-15 19:06:24,0.6,6.4,0.8,34.9
2021-05-15 19:06:29,1.0,4.6,39.6,9.2
2021-05-15 19:06:34,1.6,4.8,48.6,0.2
2021-05-15 19:06:39,1.2,0.0,49.5,4.8
2021-05-15 19:06:44,1.8,0.0,47.8,5.4
2021-05-15 19:06:49,1.0,0.0,48.6,5.0
2021-05-15 19:06:54,2.2,0.2,49.2,5.4
2021-05-15 19:06:59,1.6,0.8,48.8,5.2
2021-05-15 19:07:04,1.2,0.2,48.4,4.4
2021-05-15 19:07:09,2.0,0.0,49.5,5.6
2021-05-15 19:07:14,0.8,0.2,47.8,4.6
2021-05-15 19:07:19,2.2,0.6,46.9,5.0
2021-05-15 19:07:24,1.8,0.2,47.6,5.4
2021-05-15 19:07:29,2.2,0.2,49.4,5.2
2021-05-15 19:07:34,2.2,0.2,50.0,5.2
2021-05-15 19:07:39,2.2,0.6,46.3,4.8
2021-05-15 19:07:44,0.8,0.4,47.4,5.6
2021-05-15 19:07:49,2.6,0.2,45.2,3.2
2021-05-15 19:07:54,2.8,0.0,48.4,4.2
2021-05-15 19:07:59,2.6,0.0,49.9,3.2
2021-05-15 19:08:05,0.8,4.0,49.4,1.2
2021-05-15 19:08:10,0.4,5.4,47.0,0.2
2021-05-15 19:08:15,2.2,3.8,53.0,0.2
2021-05-15 19:08:20,1.4,4.2,50.2,0.2
2021-05-15 19:08:25,1.4,4.8,50.9,0.0
2021-05-15 19:08:30,1.2,5.8,48.5,0.4
2021-05-15 19:08:35,0.4,5.4,49.9,0.2
