Time,1,2,3,4
2021-05-15 17:47:43,100.0,0.0,0.0,0.0
2021-05-15 17:47:48,4.0,31.4,3.2,19.0
2021-05-15 17:47:53,16.2,75.2,1.6,22.0
2021-05-15 17:47:58,21.0,16.4,55.2,20.7
2021-05-15 17:48:03,89.6,1.4,0.2,24.6
2021-05-15 17:48:08,89.0,1.2,0.4,24.5
2021-05-15 17:48:13,89.2,1.2,0.0,25.5
2021-05-15 17:48:18,89.1,0.8,0.0,25.6
2021-05-15 17:48:23,89.3,0.6,0.0,23.9
2021-05-15 17:48:28,90.1,0.6,0.0,24.0
2021-05-15 17:48:33,90.2,0.4,0.0,23.2
2021-05-15 17:48:38,4.6,1.2,84.4,26.0
2021-05-15 17:48:43,0.2,1.6,88.8,25.9
2021-05-15 17:48:48,14.2,7.8,68.0,24.9
2021-05-15 17:48:53,21.0,0.2,71.7,22.0
2021-05-15 17:48:58,0.6,0.4,88.1,25.3
2021-05-15 17:49:03,2.8,0.4,88.1,25.1
2021-05-15 17:49:08,3.4,0.6,88.4,23.9
2021-05-15 17:49:13,1.4,85.2,5.6,22.4
2021-05-15 17:49:18,3.0,67.9,1.8,40.4
2021-05-15 17:49:23,11.4,22.0,43.8,37.3
2021-05-15 17:49:28,6.8,19.9,61.3,26.9
2021-05-15 17:49:33,20.6,58.3,3.2,32.9
2021-05-15 17:49:38,13.7,62.1,12.3,27.8
2021-05-15 17:49:43,9.3,88.2,7.0,8.1
2021-05-15 17:49:48,9.9,56.1,13.4,36.0
2021-05-15 17:49:53,8.4,4.0,17.3,87.5
2021-05-15 17:49:58,8.4,2.2,22.4,83.4
2021-05-15 17:50:03,25.3,3.4,11.1,78.8
2021-05-15 17:50:08,25.2,0.2,4.2,86.6
2021-05-15 17:50:13,26.1,15.3,14.7,60.1
2021-05-15 17:50:18,20.5,21.5,69.6,3.4
2021-05-15 17:50:23,27.6,72.6,0.0,15.7
2021-05-15 17:50:28,24.4,55.2,0.0,35.0
2021-05-15 17:50:34,22.0,36.7,0.2,55.7
2021-05-15 17:50:39,22.8,2.2,0.0,91.1
2021-05-15 17:50:44,19.7,47.1,0.0,47.2
2021-05-15 17:50:49,23.4,91.1,0.0,0.2
2021-05-15 17:50:54,25.4,90.9,0.0,0.2
2021-05-15 17:50:59,22.0,92.1,0.0,0.0
2021-05-15 17:51:04,22.4,41.6,0.0,52.0
2021-05-15 17:51:09,22.3,0.2,0.0,91.1
2021-05-15 17:51:14,18.8,5.8,0.0,90.0
2021-05-15 17:51:19,8.8,14.0,0.0,91.6
2021-05-15 17:51:24,8.8,13.0,70.2,22.0
2021-05-15 17:51:29,21.6,15.4,19.0,58.0
2021-05-15 17:51:34,21.1,1.2,66.9,24.3
2021-05-15 17:51:39,21.9,2.0,91.4,0.0
2021-05-15 17:51:44,23.2,3.6,90.3,0.4
2021-05-15 17:51:49,19.8,8.0,8.1,79.3
2021-05-15 17:51:54,8.5,15.5,0.0,91.3
2021-05-15 17:51:59,22.0,50.6,4.5,37.2
2021-05-15 17:52:04,23.9,3.0,89.2,1.8
2021-05-15 17:52:09,22.8,2.0,76.4,14.0
2021-05-15 17:52:14,19.8,2.4,36.5,56.3
2021-05-15 17:52:19,15.4,1.0,66.0,30.9
2021-05-15 17:52:24,8.8,1.0,91.4,11.6
2021-05-15 17:52:29,6.5,6.4,79.1,22.8
2021-05-15 17:52:34,1.6,90.7,7.6,14.6
2021-05-15 17:52:39,27.6,63.3,9.2,14.4
2021-05-15 17:52:44,1.2,67.6,15.8,29.7
2021-05-15 17:52:49,0.6,88.2,11.0,15.7
2021-05-15 17:52:54,61.9,29.1,8.1,17.2
2021-05-15 17:52:59,10.8,75.7,19.8,7.8
2021-05-15 17:53:04,0.0,89.3,24.6,2.2
2021-05-15 17:53:09,0.0,89.3,24.2,2.6
2021-05-15 17:53:14,0.0,88.8,22.6,4.2
2021-05-15 17:53:19,0.0,89.5,23.7,0.8
2021-05-15 17:53:24,0.0,78.6,26.1,11.3
2021-05-15 17:53:29,0.0,42.7,49.4,23.5
2021-05-15 17:53:34,0.0,2.2,89.2,25.9
2021-05-15 17:53:39,0.0,1.2,90.0,23.6
2021-05-15 17:53:44,0.0,33.9,57.2,22.7
2021-05-15 17:53:49,0.0,0.8,88.2,26.2
2021-05-15 17:53:54,4.6,13.6,70.7,26.5
2021-05-15 17:53:59,67.7,3.2,15.0,29.7
2021-05-15 17:54:04,60.5,2.4,22.4,29.1
2021-05-15 17:54:09,88.5,3.0,25.3,0.0
